tabulate the relative
---------------------------
	       0.199219	       0.421875	         0.1875
	      0.0966797	       0.199219	        0.09375
	      0.0476074	      0.0966797	       0.046875
	      0.0236206	      0.0476074	      0.0234375
	      0.0117645	      0.0236206	      0.0117188
	     0.00587082	      0.0117645	     0.00585938
	     0.00293255	     0.00587082	     0.00292969
	     0.00146556	     0.00293255	     0.00146484
	    0.000732601	     0.00146556	    0.000732422
	    0.000366256	    0.000732601	    0.000366211
	    0.000183117	    0.000366256	    0.000183105
	   9.15555e-005	    0.000183117	   9.15527e-005
	   4.57771e-005	   9.15555e-005	   4.57764e-005
	   2.28884e-005	   4.57771e-005	   2.28882e-005
	   1.14442e-005	   2.28884e-005	   1.14441e-005
	   5.72205e-006	   1.14442e-005	   5.72199e-006
	   2.86102e-006	   5.72205e-006	   2.86102e-006
	   1.43051e-006	   2.86102e-006	   1.43051e-006
	   7.15256e-007	   1.43051e-006	   7.15256e-007
	   3.57628e-007	   7.15256e-007	   3.57628e-007
	   1.78814e-007	   3.57628e-007	   1.78814e-007
	    8.9407e-008	   1.78814e-007	    8.9407e-008
	   4.47035e-008	    8.9407e-008	   4.47035e-008
	   4.47035e-008	   4.47035e-008	   7.45058e-008
	              0	   4.47035e-008	  -2.98023e-008
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
	              0	              0	              0
Estimate ita
------------------------------------
	1st order known	1st order unknown	2st order known	2st order unknown
	             2.11765	             2.11765	                   2	                   4
	             2.06061	             2.06061	                   2	                   4
	             2.03077	             2.03077	                   2	                   4
	              2.0155	              2.0155	                   2	                   4
	             2.00778	             2.00778	                   2	                   4
	              2.0039	              2.0039	                   2	                   4
	             2.00195	             2.00195	                   2	                   4
	             2.00098	             2.00098	                   2	                   4
	             2.00049	             2.00049	                   2	                   4
	             2.00024	             2.00024	                   2	                   4
	             2.00012	             2.00012	                   2	                   4
	             2.00006	             2.00006	                   2	                   4
	             2.00003	             2.00003	                   2	                   4
	             2.00002	             2.00002	                   2	                   4
	             2.00001	             2.00001	             2.00001	                   3
	             2.00001	             2.00001	             2.00002	                -inf
	                   2	                   2	             1.99998	                 nan
	                   2	                   2	                   2	                 nan
	                   2	                   2	                   2	                 nan
	                   2	                   2	                   2	                 nan
	                   2	                   2	                   2	                 nan
	                   2	                   2	                   2	                 nan
	                   2	                   2	                   2	                 nan
	                   1	                   1	                 0.6	                   0
	                 inf	                 inf	                -2.5	                  -1
	                 nan	                 nan	                -inf	                -inf
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
	                 nan	                 nan	                 nan	                 nan
